2021-12-09 13:20:43 INFO  OTCS Ticket: dq2c3iMs6d0c9H1eQsIX8EU2Z++AA+sT4Mkr082r2CqUd6FssuH75jjPCthLP6vUkdVevllAH7DK2tywSm+yd2qvtk6eCvMY
w2021-12-09 13:20:43 INFO  Downloading Document for : 188960678
w2021-12-09 13:20:43 INFO  Downloading Document for : 188988664
w2021-12-09 13:20:43 INFO  Downloading Document for : 188962015
w2021-12-09 13:20:43 INFO  Downloading Document for : 188979244
w2021-12-09 13:20:43 INFO  Downloading Document for : 189011954
w2021-12-09 13:20:43 INFO  Downloading Document for : 189011241
w2021-12-09 13:20:43 INFO  Downloading Document for : 189103713
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987562
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961877
w2021-12-09 13:20:43 INFO  Downloading Document for : 189005646
w2021-12-09 13:20:43 INFO  Downloading Document for : 188986402
w2021-12-09 13:20:43 INFO  Downloading Document for : 188980184
w2021-12-09 13:20:43 INFO  Downloading Document for : 188992856
w2021-12-09 13:20:43 INFO  Downloading Document for : 188977459
w2021-12-09 13:20:43 INFO  Downloading Document for : 188980170
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996975
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996623
w2021-12-09 13:20:43 INFO  Downloading Document for : 188999074
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998872
w2021-12-09 13:20:43 INFO  Downloading Document for : 189000668
w2021-12-09 13:20:43 INFO  Downloading Document for : 189000781
w2021-12-09 13:20:43 INFO  Downloading Document for : 188949299
w2021-12-09 13:20:43 INFO  Downloading Document for : 188960693
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961697
w2021-12-09 13:20:43 INFO  Downloading Document for : 188980192
w2021-12-09 13:20:43 INFO  Downloading Document for : 188995531
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987526
w2021-12-09 13:20:43 INFO  Downloading Document for : 189001283
w2021-12-09 13:20:43 INFO  Downloading Document for : 188973948
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003508
w2021-12-09 13:20:43 INFO  Downloading Document for : 189012951
w2021-12-09 13:20:43 INFO  Downloading Document for : 189000651
w2021-12-09 13:20:43 INFO  Downloading Document for : 189001061
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996260
w2021-12-09 13:20:43 INFO  Downloading Document for : 189048083
w2021-12-09 13:20:43 INFO  Downloading Document for : 188978633
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016044
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987568
w2021-12-09 13:20:43 INFO  Downloading Document for : 189111913
w2021-12-09 13:20:43 INFO  Downloading Document for : 189092575
w2021-12-09 13:20:43 INFO  Downloading Document for : 189110306
w2021-12-09 13:20:43 INFO  Downloading Document for : 189033148
w2021-12-09 13:20:43 INFO  Downloading Document for : 189032946
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996256
w2021-12-09 13:20:43 INFO  Downloading Document for : 188983339
w2021-12-09 13:20:43 INFO  Downloading Document for : 189042114
w2021-12-09 13:20:43 INFO  Downloading Document for : 189042214
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003402
w2021-12-09 13:20:43 INFO  Downloading Document for : 189000845
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987543
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014003
w2021-12-09 13:20:43 INFO  Downloading Document for : 189110924
w2021-12-09 13:20:43 INFO  Downloading Document for : 188976870
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014237
w2021-12-09 13:20:43 INFO  Downloading Document for : 189008326
w2021-12-09 13:20:43 INFO  Downloading Document for : 189009554
w2021-12-09 13:20:43 INFO  Downloading Document for : 189010266
w2021-12-09 13:20:43 INFO  Downloading Document for : 188984904
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996301
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016162
w2021-12-09 13:20:43 INFO  Downloading Document for : 189012954
w2021-12-09 13:20:43 INFO  Downloading Document for : 189001155
w2021-12-09 13:20:43 INFO  Downloading Document for : 188999018
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993788
w2021-12-09 13:20:43 INFO  Downloading Document for : 189069353
w2021-12-09 13:20:43 INFO  Downloading Document for : 189063608
w2021-12-09 13:20:43 INFO  Downloading Document for : 189013071
w2021-12-09 13:20:43 INFO  Downloading Document for : 189015962
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003400
w2021-12-09 13:20:43 INFO  Downloading Document for : 189063648
w2021-12-09 13:20:43 INFO  Downloading Document for : 189042113
w2021-12-09 13:20:43 INFO  Downloading Document for : 189042213
w2021-12-09 13:20:43 INFO  Downloading Document for : 189072212
w2021-12-09 13:20:43 INFO  Downloading Document for : 188973959
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014568
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014278
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003447
w2021-12-09 13:20:43 INFO  Downloading Document for : 188986045
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993872
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996595
w2021-12-09 13:20:43 INFO  Downloading Document for : 187018321
w2021-12-09 13:20:43 INFO  Downloading Document for : 188992447
w2021-12-09 13:20:43 INFO  Downloading Document for : 188989794
w2021-12-09 13:20:43 INFO  Downloading Document for : 189013808
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016053
w2021-12-09 13:20:43 INFO  Downloading Document for : 189032034
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014552
w2021-12-09 13:20:43 INFO  Downloading Document for : 188992774
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998817
w2021-12-09 13:20:43 INFO  Downloading Document for : 188897484
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993441
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016045
w2021-12-09 13:20:43 INFO  Downloading Document for : 189111021
w2021-12-09 13:20:43 INFO  Downloading Document for : 188990507
w2021-12-09 13:20:43 INFO  Downloading Document for : 189013038
w2021-12-09 13:20:43 INFO  Downloading Document for : 189040409
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996573
w2021-12-09 13:20:43 INFO  Downloading Document for : 189046542
w2021-12-09 13:20:43 INFO  Downloading Document for : 189015032
w2021-12-09 13:20:43 INFO  Downloading Document for : 188956633
w2021-12-09 13:20:43 INFO  Downloading Document for : 188986112
w2021-12-09 13:20:43 INFO  Downloading Document for : 188985808
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987629
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014374
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996576
w2021-12-09 13:20:43 INFO  Downloading Document for : 188995254
w2021-12-09 13:20:43 INFO  Downloading Document for : 188994648
w2021-12-09 13:20:43 INFO  Downloading Document for : 188957132
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961860
w2021-12-09 13:20:43 INFO  Downloading Document for : 188995234
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998768
w2021-12-09 13:20:43 INFO  Downloading Document for : 189011147
w2021-12-09 13:20:43 INFO  Downloading Document for : 188987571
w2021-12-09 13:20:43 INFO  Downloading Document for : 188983359
w2021-12-09 13:20:43 INFO  Downloading Document for : 188994059
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016102
w2021-12-09 13:20:43 INFO  Downloading Document for : 189014065
w2021-12-09 13:20:43 INFO  Downloading Document for : 188994037
w2021-12-09 13:20:43 INFO  Downloading Document for : 189012945
w2021-12-09 13:20:43 INFO  Downloading Document for : 189101531
w2021-12-09 13:20:43 INFO  Downloading Document for : 189097135
w2021-12-09 13:20:43 INFO  Downloading Document for : 189016251
w2021-12-09 13:20:43 INFO  Downloading Document for : 189011368
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993852
w2021-12-09 13:20:43 INFO  Downloading Document for : 188977706
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003495
w2021-12-09 13:20:43 INFO  Downloading Document for : 189046956
w2021-12-09 13:20:43 INFO  Downloading Document for : 189041323
w2021-12-09 13:20:43 INFO  Downloading Document for : 188977417
w2021-12-09 13:20:43 INFO  Downloading Document for : 188981830
w2021-12-09 13:20:43 INFO  Downloading Document for : 188989057
w2021-12-09 13:20:43 INFO  Downloading Document for : 189008315
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003903
w2021-12-09 13:20:43 INFO  Downloading Document for : 188978627
w2021-12-09 13:20:43 INFO  Downloading Document for : 188985975
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961728
w2021-12-09 13:20:43 INFO  Downloading Document for : 188978573
w2021-12-09 13:20:43 INFO  Downloading Document for : 188982159
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961936
w2021-12-09 13:20:43 INFO  Downloading Document for : 188977457
w2021-12-09 13:20:43 INFO  Downloading Document for : 188996651
w2021-12-09 13:20:43 INFO  Downloading Document for : 189005983
w2021-12-09 13:20:43 INFO  Downloading Document for : 188973888
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003810
w2021-12-09 13:20:43 INFO  Downloading Document for : 188956645
w2021-12-09 13:20:43 INFO  Downloading Document for : 188960704
w2021-12-09 13:20:43 INFO  Downloading Document for : 189000694
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993563
w2021-12-09 13:20:43 INFO  Downloading Document for : 188990615
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961695
w2021-12-09 13:20:43 INFO  Downloading Document for : 188981554
w2021-12-09 13:20:43 INFO  Downloading Document for : 189001404
w2021-12-09 13:20:43 INFO  Downloading Document for : 189005560
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998417
w2021-12-09 13:20:43 INFO  Downloading Document for : 188989808
w2021-12-09 13:20:43 INFO  Downloading Document for : 188997386
w2021-12-09 13:20:43 INFO  Downloading Document for : 188994076
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998745
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003412
w2021-12-09 13:20:43 INFO  Downloading Document for : 188995286
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998529
w2021-12-09 13:20:43 INFO  Downloading Document for : 189003221
w2021-12-09 13:20:43 INFO  Downloading Document for : 188998056
w2021-12-09 13:20:43 INFO  Downloading Document for : 188961622
w2021-12-09 13:20:43 INFO  Downloading Document for : 188962126
w2021-12-09 13:20:43 INFO  Downloading Document for : 188999357
w2021-12-09 13:20:43 INFO  Downloading Document for : 188997417
w2021-12-09 13:20:43 INFO  Downloading Document for : 188986100
w2021-12-09 13:20:43 INFO  Downloading Document for : 188985806
w2021-12-09 13:20:43 INFO  Downloading Document for : 188977440
w2021-12-09 13:20:43 INFO  Downloading Document for : 188973642
w2021-12-09 13:20:43 INFO  Downloading Document for : 188958778
w2021-12-09 13:20:43 INFO  Downloading Document for : 188978721
w2021-12-09 13:20:43 INFO  Downloading Document for : 188988980
w2021-12-09 13:20:43 INFO  Downloading Document for : 188993870
w2021-12-09 13:20:43 INFO  Downloading Document for : 188982090
w2021-12-09 13:20:43 INFO  Downloading Document for : 188978662
w2021-12-09 13:20:43 INFO  Downloading Document for : 188976935
w2021-12-09 13:20:43 INFO  Downloading Document for : 188986599
w2021-12-09 13:20:43 INFO  Downloading Document for : 188982098
